frame_number,timestamp
159,0:00:10
162,0:00:10
165,0:00:10
168,0:00:11
171,0:00:11
174,0:00:11
177,0:00:11
180,0:00:11
183,0:00:12
186,0:00:12
189,0:00:12
192,0:00:12
195,0:00:12
198,0:00:13
201,0:00:13
204,0:00:13
207,0:00:13
210,0:00:13
213,0:00:14
216,0:00:14
219,0:00:14
222,0:00:14
225,0:00:14
228,0:00:15
231,0:00:15
234,0:00:15
237,0:00:15
240,0:00:15
243,0:00:16
246,0:00:16
249,0:00:16
252,0:00:16
255,0:00:16
258,0:00:17
261,0:00:17
264,0:00:17
267,0:00:17
270,0:00:17
273,0:00:18
276,0:00:18
279,0:00:18
282,0:00:18
285,0:00:18
288,0:00:19
291,0:00:19
294,0:00:19
297,0:00:19
300,0:00:19
303,0:00:20
306,0:00:20
309,0:00:20
312,0:00:20
315,0:00:20
318,0:00:21
321,0:00:21
324,0:00:21
327,0:00:21
330,0:00:21
333,0:00:22
336,0:00:22
339,0:00:22
342,0:00:22
345,0:00:22
348,0:00:23
351,0:00:23
354,0:00:23
357,0:00:23
360,0:00:23
363,0:00:24
366,0:00:24
369,0:00:24
372,0:00:24
378,0:00:25
381,0:00:25
384,0:00:25
387,0:00:25
390,0:00:25
393,0:00:26
396,0:00:26
399,0:00:26
402,0:00:26
405,0:00:26
408,0:00:27
411,0:00:27
414,0:00:27
417,0:00:27
420,0:00:27
423,0:00:28
426,0:00:28
429,0:00:28
432,0:00:28
435,0:00:28
438,0:00:29
441,0:00:29
444,0:00:29
447,0:00:29
450,0:00:29
453,0:00:30
456,0:00:30
459,0:00:30
462,0:00:30
465,0:00:30
468,0:00:31
471,0:00:31
852,0:00:56
857,0:00:57
1066,0:01:11
1069,0:01:11
1073,0:01:11
1076,0:01:11
1079,0:01:11
1082,0:01:12
1085,0:01:12
1088,0:01:12
1091,0:01:12
1094,0:01:12
1097,0:01:13
1100,0:01:13
1103,0:01:13
1106,0:01:13
1109,0:01:13
1112,0:01:14
1115,0:01:14
1118,0:01:14
1121,0:01:14
1124,0:01:14
1127,0:01:15
1130,0:01:15
1135,0:01:15
1138,0:01:15
1141,0:01:16
1144,0:01:16
1147,0:01:16
1150,0:01:16
1153,0:01:16
1156,0:01:17
1159,0:01:17
1162,0:01:17
1165,0:01:17
1168,0:01:17
1171,0:01:18
1174,0:01:18
1177,0:01:18
1180,0:01:18
1183,0:01:18
1186,0:01:19
1189,0:01:19
1192,0:01:19
1195,0:01:19
1198,0:01:19
1201,0:01:20
1204,0:01:20
1207,0:01:20
1210,0:01:20
1213,0:01:20
1216,0:01:21
1219,0:01:21
1222,0:01:21
1225,0:01:21
1228,0:01:21
1231,0:01:22
1234,0:01:22
1305,0:01:26
1308,0:01:27
1311,0:01:27
1314,0:01:27
1317,0:01:27
1320,0:01:27
1323,0:01:28
1326,0:01:28
1329,0:01:28
1332,0:01:28
1335,0:01:28
1338,0:01:29
1341,0:01:29
1344,0:01:29
1347,0:01:29
1350,0:01:29
1353,0:01:30
1356,0:01:30
1359,0:01:30
1362,0:01:30
1365,0:01:30
1368,0:01:31
1371,0:01:31
1374,0:01:31
1377,0:01:31
1380,0:01:31
1383,0:01:32
1386,0:01:32
1389,0:01:32
1392,0:01:32
1395,0:01:32
1398,0:01:33
1401,0:01:33
1404,0:01:33
1407,0:01:33
1410,0:01:33
1413,0:01:34
1416,0:01:34
1419,0:01:34
1422,0:01:34
1425,0:01:34
1428,0:01:35
1431,0:01:35
1434,0:01:35
1437,0:01:35
1440,0:01:35
1443,0:01:36
1446,0:01:36
1449,0:01:36
1452,0:01:36
1455,0:01:36
1458,0:01:37
1461,0:01:37
1593,0:01:46
1597,0:01:46
1600,0:01:46
1603,0:01:46
1606,0:01:47
1609,0:01:47
1612,0:01:47
1615,0:01:47
1618,0:01:47
1621,0:01:48
1624,0:01:48
1627,0:01:48
1630,0:01:48
1633,0:01:48
1636,0:01:49
1639,0:01:49
1642,0:01:49
1645,0:01:49
1648,0:01:49
1651,0:01:50
1654,0:01:50
1657,0:01:50
1660,0:01:50
1663,0:01:50
1666,0:01:51
1669,0:01:51
1672,0:01:51
1675,0:01:51
1678,0:01:51
1681,0:01:52
1684,0:01:52
1687,0:01:52
1690,0:01:52
1693,0:01:52
1696,0:01:53
1699,0:01:53
1702,0:01:53
1705,0:01:53
1708,0:01:53
1711,0:01:54
1714,0:01:54
1717,0:01:54
1720,0:01:54
1723,0:01:54
1726,0:01:55
1729,0:01:55
1732,0:01:55
1735,0:01:55
1738,0:01:55
1741,0:01:56
1744,0:01:56
1747,0:01:56
1750,0:01:56
1754,0:01:56
1757,0:01:57
1794,0:01:59
1797,0:01:59
1800,0:01:59
1803,0:02:00
1806,0:02:00
1809,0:02:00
1812,0:02:00
1815,0:02:00
1818,0:02:01
1821,0:02:01
1824,0:02:01
1827,0:02:01
1830,0:02:01
1833,0:02:02
1836,0:02:02
1839,0:02:02
1842,0:02:02
1845,0:02:02
1848,0:02:03
1851,0:02:03
1854,0:02:03
1857,0:02:03
1860,0:02:03
1863,0:02:04
1866,0:02:04
1869,0:02:04
1872,0:02:04
1875,0:02:04
1878,0:02:05
1881,0:02:05
1884,0:02:05
1887,0:02:05
1890,0:02:05
1893,0:02:06
1896,0:02:06
1899,0:02:06
1902,0:02:06
1905,0:02:06
1908,0:02:07
1911,0:02:07
1914,0:02:07
1917,0:02:07
1920,0:02:07
1923,0:02:08
1926,0:02:08
1929,0:02:08
1932,0:02:08
1935,0:02:08
1938,0:02:09
1941,0:02:09
1944,0:02:09
1947,0:02:09
1950,0:02:09
1953,0:02:10
1956,0:02:10
1959,0:02:10
1962,0:02:10
1967,0:02:11
1970,0:02:11
2160,0:02:23
2163,0:02:24
2166,0:02:24
2169,0:02:24
2172,0:02:24
2175,0:02:24
2178,0:02:25
2181,0:02:25
2184,0:02:25
2187,0:02:25
